,101,103,305,207,309,211,313,215,217,319,221,323,225,227,329,231,233,135,237,139,143,147,151,155,257,159,261,263,365,267,269,371,273,375,277,279,381,283,385,287,289,191,193,195,197,199
Gilroy,,,,,,,,,6:06:00,,6:28:00,,,7:06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Martin,,,,,,,,,6:15:00,,6:37:00,,,7:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgan Hill,,,,,,,,,6:21:00,,6:43:00,,,7:21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blossom Hill,,,,,,,,,6:36:00,,6:58:00,,,7:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitol,,,,,,,,,6:42:00,,7:04:00,,,7:42:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tamien,,4:55:00,,5:51:00,5:56:00,,,,6:50:00,6:56:00,7:15:00,,,7:53:00,7:59:00,,8:28:00,,9:37:00,,,,,,14:16:00,,15:32:00,,,,16:33:00,,,,,17:32:00,,,,,18:38:00,,,20:37:00,21:37:00,
San Jose Diridon,4:28:00,5:03:00,5:45:00,5:59:00,6:04:00,6:23:00,6:49:00,6:54:00,6:59:00,7:04:00,7:23:00,7:49:00,7:54:00,7:59:00,8:04:00,8:23:00,8:39:00,9:13:00,9:50:00,10:13:00,11:13:00,12:13:00,13:13:00,14:13:00,14:24:00,15:13:00,15:40:00,16:12:00,16:24:00,16:30:00,16:40:00,16:45:00,17:10:00,17:20:00,17:30:00,17:40:00,17:45:00,18:10:00,18:20:00,18:35:00,18:45:00,19:07:00,19:45:00,20:45:00,21:45:00,22:30:00
College Park,,,,,,,,,,,,,,8:03:00,,,,,,,,,,,,15:16:00,,,,,,,,,,,,,,,,,,,,
Santa Clara,4:33:00,5:08:00,,6:06:00,,6:28:00,,,7:06:00,,7:28:00,,,8:08:00,,8:28:00,8:44:00,9:18:00,9:55:00,10:18:00,11:18:00,12:18:00,13:18:00,14:18:00,14:29:00,15:20:00,15:45:00,16:18:00,,,16:46:00,,17:16:00,,,17:46:00,,18:16:00,,,,19:12:00,19:50:00,20:50:00,21:50:00,22:35:00
Lawrence,4:39:00,5:13:00,,6:12:00,,,,,7:12:00,,7:34:00,,,8:15:00,,,8:50:00,9:24:00,10:00:00,10:24:00,11:24:00,12:24:00,13:24:00,14:24:00,14:34:00,15:25:00,15:50:00,,,16:41:00,16:54:00,,,,17:41:00,17:54:00,,,,18:45:00,18:55:00,19:18:00,19:55:00,20:55:00,21:55:00,22:40:00
Sunnyvale,4:43:00,5:18:00,,6:20:00,6:15:00,6:36:00,,7:07:00,7:20:00,7:15:00,7:40:00,,8:07:00,8:22:00,8:15:00,8:36:00,8:55:00,9:29:00,10:05:00,10:28:00,11:28:00,12:28:00,13:28:00,14:28:00,14:39:00,15:30:00,15:57:00,,,,17:00:00,,,,,18:00:00,,,,18:49:00,,19:22:00,20:00:00,21:00:00,22:00:00,22:45:00
Mountain View,4:48:00,5:23:00,6:01:00,6:25:00,,6:42:00,7:05:00,7:12:00,7:25:00,,7:46:00,8:05:00,8:12:00,8:28:00,,8:42:00,9:00:00,9:34:00,10:10:00,10:33:00,11:33:00,12:33:00,13:33:00,14:33:00,14:44:00,15:35:00,16:02:00,,16:38:00,16:48:00,17:05:00,16:59:00,,17:34:00,17:48:00,18:05:00,17:59:00,,18:34:00,18:54:00,19:03:00,19:27:00,20:05:00,21:05:00,22:05:00,22:50:00
San Antonio,4:52:00,5:27:00,,6:29:00,,,,,7:29:00,,,,,8:32:00,,,9:04:00,9:38:00,10:14:00,10:37:00,11:37:00,12:37:00,13:37:00,14:37:00,14:47:00,15:39:00,16:06:00,,,,17:09:00,,,,,18:09:00,,,,,,19:31:00,20:08:00,21:08:00,22:08:00,22:54:00
California Ave,4:57:00,5:31:00,,6:34:00,,6:48:00,,7:18:00,7:34:00,,7:51:00,,8:18:00,8:36:00,,,9:09:00,9:42:00,10:18:00,10:42:00,11:41:00,12:41:00,13:41:00,14:41:00,14:52:00,15:43:00,16:11:00,,,,17:14:00,,,,,18:14:00,,,,,19:09:00,19:35:00,20:13:00,21:13:00,22:13:00,22:59:00
Palo Alto,5:01:00,5:36:00,6:09:00,6:38:00,6:27:00,,7:13:00,7:22:00,7:38:00,7:28:00,,8:13:00,8:22:00,8:41:00,8:28:00,,9:14:00,9:47:00,10:23:00,10:47:00,11:46:00,12:46:00,13:46:00,14:46:00,14:56:00,15:47:00,16:15:00,16:33:00,16:46:00,16:56:00,17:20:00,17:07:00,17:31:00,17:42:00,17:56:00,18:20:00,18:07:00,18:31:00,18:42:00,19:02:00,19:13:00,19:40:00,20:17:00,21:17:00,22:17:00,23:04:00
Menlo Park,5:04:00,5:39:00,,6:41:00,,6:54:00,,,7:41:00,,7:56:00,,,8:44:00,,8:51:00,9:17:00,9:50:00,10:26:00,10:50:00,11:49:00,12:49:00,13:49:00,14:49:00,14:59:00,15:51:00,16:19:00,,16:49:00,16:59:00,17:23:00,,,17:45:00,17:59:00,18:23:00,,,18:45:00,19:05:00,19:16:00,19:43:00,20:20:00,21:20:00,22:20:00,23:07:00
Redwood City,5:10:00,5:44:00,,6:47:00,6:33:00,6:59:00,,,7:47:00,7:35:00,8:02:00,,,8:51:00,8:35:00,8:57:00,9:24:00,9:57:00,10:32:00,10:55:00,11:55:00,12:55:00,13:55:00,14:55:00,15:05:00,15:58:00,16:24:00,16:40:00,16:55:00,,17:29:00,17:13:00,17:38:00,17:51:00,,18:29:00,18:13:00,18:38:00,18:51:00,,19:22:00,19:49:00,20:27:00,21:27:00,22:27:00,23:13:00
San Carlos,5:15:00,5:49:00,,,,7:04:00,,7:30:00,,,8:07:00,,8:30:00,,,9:02:00,9:28:00,10:01:00,10:37:00,10:59:00,11:59:00,12:59:00,13:59:00,14:59:00,15:09:00,16:03:00,16:29:00,16:44:00,,17:07:00,17:33:00,,17:42:00,,18:07:00,18:33:00,,18:42:00,,19:13:00,19:26:00,19:53:00,20:31:00,21:31:00,22:31:00,23:17:00
Belmont,5:18:00,5:52:00,,,,7:07:00,,,,,8:10:00,,,,,9:05:00,9:32:00,10:05:00,10:40:00,11:03:00,12:03:00,13:03:00,14:03:00,15:03:00,15:13:00,16:06:00,,16:47:00,,,,,17:45:00,,,,,18:45:00,,,,19:57:00,20:35:00,21:35:00,22:35:00,23:21:00
Hillsdale,5:22:00,5:56:00,6:19:00,6:54:00,,7:11:00,7:24:00,7:35:00,7:54:00,,8:14:00,8:25:00,8:35:00,8:59:00,,9:09:00,9:35:00,10:08:00,10:44:00,11:06:00,12:06:00,13:06:00,14:06:00,15:06:00,15:16:00,16:10:00,,16:51:00,,17:11:00,,17:20:00,17:49:00,,18:11:00,,18:20:00,18:49:00,,19:17:00,19:31:00,20:00:00,20:38:00,21:38:00,22:38:00,23:24:00
Hayward Park,5:25:00,5:59:00,,,,7:14:00,,,,,8:17:00,,,,,9:12:00,,10:11:00,,11:09:00,12:09:00,13:09:00,14:09:00,15:09:00,,16:13:00,,16:54:00,,,,,17:52:00,,,,,18:52:00,,,,20:03:00,20:41:00,21:41:00,22:41:00,23:27:00
San Mateo,5:28:00,6:03:00,,,6:44:00,7:18:00,,7:39:00,,7:45:00,8:21:00,,8:39:00,,8:45:00,9:15:00,9:40:00,10:15:00,10:49:00,11:12:00,12:12:00,13:12:00,14:12:00,15:14:00,15:21:00,16:17:00,16:36:00,16:57:00,,17:15:00,17:40:00,,17:55:00,,18:15:00,18:40:00,,18:55:00,,19:21:00,19:35:00,20:07:00,20:44:00,21:44:00,22:44:00,23:30:00
Burlingame,5:32:00,6:06:00,,,,7:21:00,,7:44:00,,,8:24:00,,8:44:00,,,9:19:00,9:43:00,10:18:00,10:52:00,11:15:00,12:15:00,13:15:00,14:15:00,15:17:00,15:24:00,16:20:00,,17:01:00,,17:19:00,,,17:59:00,,18:19:00,,,18:59:00,,19:25:00,19:39:00,20:10:00,20:48:00,21:48:00,22:48:00,23:34:00
Millbrae,5:36:00,6:11:00,6:28:00,7:03:00,6:52:00,7:26:00,7:32:00,,8:03:00,7:53:00,8:29:00,8:34:00,,9:08:00,8:53:00,9:24:00,9:48:00,10:23:00,10:57:00,11:20:00,12:20:00,13:20:00,14:20:00,15:22:00,15:32:00,16:25:00,16:42:00,17:05:00,17:12:00,,17:48:00,17:32:00,18:03:00,18:08:00,,18:48:00,18:32:00,19:03:00,19:08:00,,19:43:00,20:15:00,20:52:00,21:52:00,22:52:00,23:38:00
San Bruno,5:41:00,6:16:00,,,,7:30:00,,7:51:00,,,8:33:00,,8:51:00,,,9:28:00,9:53:00,10:28:00,11:02:00,11:25:00,12:25:00,13:25:00,14:25:00,15:27:00,15:37:00,16:30:00,,17:10:00,,17:26:00,,,18:08:00,,18:26:00,,,19:08:00,,19:32:00,,20:20:00,20:57:00,21:57:00,22:57:00,23:42:00
So San Francisco,5:45:00,6:20:00,,7:09:00,,7:34:00,,,8:09:00,,8:37:00,,,9:14:00,,9:32:00,,10:32:00,,11:29:00,12:29:00,13:29:00,14:29:00,15:31:00,,16:34:00,,17:14:00,,,,,18:12:00,,,,,19:12:00,,,,20:24:00,21:01:00,22:01:00,23:01:00,23:46:00
Bayshore,5:51:00,6:26:00,,,,7:41:00,,,,,8:45:00,,,,,9:39:00,,10:38:00,,11:35:00,12:35:00,13:35:00,14:35:00,15:37:00,,16:40:00,,17:21:00,,,,,18:19:00,,,,,19:19:00,,,,20:30:00,21:07:00,22:07:00,23:07:00,23:52:00
22nd Street,5:57:00,6:32:00,,,,7:50:00,,,,,8:53:00,,,,,9:45:00,,10:44:00,,11:41:00,12:41:00,13:41:00,14:41:00,15:43:00,,16:46:00,16:56:00,17:30:00,17:26:00,17:37:00,18:00:00,17:47:00,18:28:00,18:23:00,18:37:00,19:00:00,18:47:00,19:28:00,19:23:00,19:43:00,19:57:00,20:36:00,21:13:00,22:13:00,23:13:00,23:58:00
San Francisco,6:03:00,6:38:00,6:47:00,7:24:00,7:09:00,7:57:00,7:52:00,8:08:00,8:24:00,8:13:00,9:00:00,8:54:00,9:08:00,9:29:00,9:13:00,9:52:00,10:09:00,10:52:00,11:19:00,11:48:00,12:48:00,13:48:00,14:48:00,15:52:00,15:57:00,16:53:00,17:02:00,17:38:00,17:33:00,17:44:00,18:06:00,17:53:00,18:35:00,18:29:00,18:44:00,19:06:00,18:53:00,19:35:00,19:29:00,19:50:00,20:04:00,20:42:00,21:20:00,22:20:00,23:20:00,24:05:00
